chembl.id,chembl.name,efo.id,efo.term,set1,set2,overlap,universe,odds.ratio,p.value,existing.indication,p.adjusted
CHEMBL98,VORINOSTAT,EFO_0001073,obesity,4984,7209,1660,64102,4.82092626993059,1.1125369292536e-308,FALSE,1.11253692925622e-308
CHEMBL1421,DASATINIB,EFO_0001073,obesity,4246,7209,1408,64102,4.62287334641017,1.1125369292536e-308,FALSE,1.11253692925622e-308
CHEMBL507361,PD-0325901,EFO_0001073,obesity,4217,7209,1398,64102,4.61464910109847,1.1125369292536e-308,FALSE,1.11253692925622e-308
CHEMBL98,VORINOSTAT,EFO_0003758,autism,4984,5501,1339,64102,4.85040888434227,1.1125369292536e-308,FALSE,1.11253692925622e-308
CHEMBL98,VORINOSTAT,EFO_0001359,type I diabetes mellitus,4984,5458,1329,64102,4.84229020810083,1.1125369292536e-308,FALSE,1.11253692925622e-308
CHEMBL98,VORINOSTAT,EFO_0000289,bipolar disorder,4984,5835,1378,64102,4.68642809897925,1.1125369292536e-308,FALSE,1.11253692925622e-308
CHEMBL98,VORINOSTAT,EFO_0000537,hypertension,4984,6014,1392,64102,4.56901728159699,1.1125369292536e-308,FALSE,1.11253692925622e-308
CHEMBL428690,ALVOCIDIB,EFO_0001073,obesity,4118,7209,1333,64102,4.40737530450033,1.11253836735691e-308,FALSE,1.12587623622109e-308
CHEMBL98,VORINOSTAT,HP_0003124,hypercholesterolemia,4984,4983,1201,64102,4.64489367459362,2.06698098607203e-308,FALSE,1.57387824969358e-304
CHEMBL507361,PD-0325901,EFO_0003758,autism,4217,5501,1141,64102,4.72372008228162,2.60287828709732e-299,FALSE,1.93146583294057e-295
CHEMBL428690,ALVOCIDIB,EFO_0000289,bipolar disorder,4118,5835,1160,64102,4.63936197985264,2.44475286882743e-297,FALSE,1.64920806028491e-293
CHEMBL445813,AT-7519,EFO_0001073,obesity,3979,7209,1279,64102,4.32906608204648,6.02055104273095e-297,FALSE,3.72295825104875e-293
CHEMBL98,VORINOSTAT,EFO_0000692,schizophrenia,4984,5048,1190,64102,4.49244206227741,2.27918045864101e-295,FALSE,1.30097373794966e-291
CHEMBL98,VORINOSTAT,EFO_0003885,multiple sclerosis,4984,4889,1168,64102,4.55663787672345,4.65899934474062e-295,FALSE,2.46943604554627e-291
CHEMBL1421,DASATINIB,EFO_0003758,autism,4246,5501,1130,64102,4.60319842469235,5.70128244027832e-289,FALSE,2.82042442320568e-285
CHEMBL1421,DASATINIB,EFO_0000289,bipolar disorder,4246,5835,1167,64102,4.48086553561432,2.45830468619257e-288,FALSE,1.14011562024325e-284
CHEMBL1421,DASATINIB,EFO_0001359,type I diabetes mellitus,4246,5458,1124,64102,4.61204285644569,2.87389752798163e-288,FALSE,1.25445627096398e-284
CHEMBL507361,PD-0325901,EFO_0001359,type I diabetes mellitus,4217,5458,1118,64102,4.61699225900584,3.27339690659291e-287,FALSE,1.34945787474293e-283
CHEMBL1421,DASATINIB,EFO_0000537,hypertension,4246,6014,1183,64102,4.39896555988753,1.00603674208214e-285,FALSE,3.92910297085291e-282
CHEMBL428690,ALVOCIDIB,EFO_0000537,hypertension,4118,6014,1154,64102,4.41592406190263,1.44241201809923e-280,FALSE,5.35170919015265e-277
CHEMBL507361,PD-0325901,EFO_0000537,hypertension,4217,6014,1170,64102,4.36301384834269,2.01293222432004e-280,FALSE,7.11283979550802e-277
CHEMBL445813,AT-7519,EFO_0000289,bipolar disorder,3979,5835,1110,64102,4.53597620587709,3.45305495585655e-279,FALSE,1.16469974090607e-275
